"year","weeknum","new_case","total_case","new_case_excludeabroad","total_case_excludeabroad","new_recovered","total_recovered","new_death","total_death"
2021,13,168,29031,135,25901,242,27668,1,95
2021,14,2627,31658,2562,28463,493,28161,2,97
2021,15,8927,40585,8890,37353,409,28570,3,100
2021,16,12437,53022,12405,49758,1996,30566,29,129
2021,17,14022,67044,13972,63730,7509,38075,95,224
2021,18,14230,81274,14178,77908,13344,51419,158,382
2021,19,17871,99145,17798,95706,12248,63667,183,565
2021,20,26973,126118,26790,122496,18737,82404,194,759
2021,21,23661,149779,23482,145978,19907,102311,229,988
2021,22,25017,174796,24741,170719,21782,124093,225,1213
2021,23,18309,193105,18070,188789,26178,150271,218,1431
2021,24,21344,214449,21165,209954,31087,181358,178,1609
2021,25,26002,240451,25806,235760,15317,196675,261,1870
2021,26,36700,277151,36583,272343,20824,217499,312,2182
2021,27,49681,326832,49588,321931,26419,243918,443,2625
2021,28,65157,391989,65016,386947,34266,278184,615,3240
2021,29,89978,481967,89878,476825,49605,327789,690,3930
2021,30,115320,597287,115203,592028,64131,391920,927,4857
2021,31,139235,736522,139172,731200,125092,517012,1209,6066
2021,32,148753,885275,148675,879875,150544,667556,1277,7343
2021,33,145006,1030281,144919,1024794,151408,818964,1744,9087
2021,34,127274,1157555,127216,1152010,145355,964319,1792,10879
2021,35,107527,1265082,107471,1259481,132998,1097317,1752,12631
2021,36,103062,1368144,102963,1362444,118795,1216112,1542,14173
2021,37,94757,1462901,94691,1457135,101415,1317527,1073,15246
2021,38,86384,1549285,86291,1543426,91075,1408602,897,16143
2021,39,77319,1626604,77229,1620655,87671,1496273,794,16937
2021,40,73463,1700067,73364,1694019,76059,1572332,670,17607
2021,41,72771,1772838,72539,1766558,74923,1647255,598,18205
2021,42,68293,1841131,68196,1834754,73374,1720629,494,18699
2021,43,62034,1903165,61956,1896710,63246,1783875,459,19158
2021,44,56874,1960039,56797,1953507,59143,1843018,453,19611
2021,45,51292,2011331,51203,2004710,52911,1895929,378,19989
2021,46,46244,2057575,46154,2050864,53403,1949332,369,20358
2021,47,43384,2100959,43244,2094108,51170,2000502,319,20677
2021,48,35578,2136537,35509,2129617,42164,2042666,240,20917
2021,49,28322,2164859,28218,2157835,47587,2090253,234,21151
2021,50,23770,2188629,23619,2181454,33716,2123969,204,21355
2021,51,18809,2207438,18467,2199921,24788,2148757,203,21558
2021,52,15997,2223435,15410,2215331,19737,2168494,140,21698
